,host,app,app count,Forcepoint ThreatSeeker,sophos,Comodo Valkyrie Verdict,BitDefender,alphaMountain.ai,Webroot,Dr.Web,Websense ThreatSeeker,Alexa,TrendMicro
45,report.meituan.com,"""{'com.sankuai.meituan.dispatch.homebrew'", 'com.sankuai.meituan.dispatch.crowdsource',shopping,,,onlineshop,,,,,,
46,soup.v.qq.com,"""{'tv.xiaodao.xdtv'", 'net.myvst.v2',search engines and portals,video hosting,,portals,,,,,,
47,a.ecook.cn,"""{'com.atonce.goosetalk'", 'com.aipai.paidashi',,,,,,,,,,
48,dc1.networkbench.com,"""{'com.yougou'", 'com.wuba',information technology,general business,,,,,,,,
49,as.mobo168.com,"""{'com.ledu.wbrowser'", 'com.jx.fastbrowser',news and media,,media sharing,,,,,,,
50,log.duantian.com,"""{'com.ledu.wbrowser'", 'com.jx.fastbrowser',business and economy,,unknown,,,,,,,
51,ug.snssdk.com,"""{'com.shanp.qgsb'", 'com.mnkllgg.tyyupoohh',entertainment,entertainment,,,,,,,,
52,acs4baichuan.m.taobao.com,"""{'com.xiaopeng.mycarinfo'", 'com.bijiago.app',,,,,,,,,,
53,a.applovin.com,"""{'com.canvas.car.crash.beam.car.jump.arena'", 'com.bmwstudio.cars_hotel_apartemen_bitcoin_vpn',advertisements,advertisements,marketing & merchandising,computersandsoftware,,,,,,
54,px.ucweb.com,"""{'com.shuqi.controller'", 'com.UCMobile',,,,,,,,,,
55,sdksp.video.qq.com,"""{'com.tencent.videolite.android'", 'tv.xiaodao.xdtv',streaming media,portal sites,,portals,,,,,,
56,182.254.56.113,"""{'com.ziipin.softkeyboard.kazakh'", 'com.myxianwen.nanguozaobao',,,,,,,,,,
57,ads.api.vungle.com,"""{'com.rovio.angrybirdsseasons'", 'es.socialpoint.DragonCity',information technology,information technology,media sharing,ads,,,,,,
58,ws.tapjoyads.com,"""{'com.nekki.shadowfight3'", 'com.didilabs.kaavefali',advertisements,information technology,media sharing,business,,,,,,
59,httpkafka.unityads.unity3d.com,"""{'com.duhnnae.drawingpaintinglessons'", 'es.socialpoint.DragonCity',information technology,information technology,,business,,,,,,
60,ip.adipman.net,"""{'niaoge.xiaoyu.router'", 'com.xyf.bletool',information technology,,media sharing,,,,,,,
61,speed.adipman.net,"""{'niaoge.xiaoyu.router'", 'com.xyf.bletool',entertainment,,unknown,,,,,,,
62,jump.admobile.top,"""{'com.atonce.goosetalk'", 'com.mylikefonts.activity',business and economy,information technology,media sharing,,,,,,,
63,mpsapi.amap.com,"""{'cn.nova.phone'", 'com.antzb.androidapp',reference materials,reference,media sharing,business,,,,,,
64,brahe.apptimize.com,"""{'com.strava'", 'com.brainbow.peak.app',hosted business applications,information technology,media sharing,business,,,,,,
65,events-api-cn.outfit7.com,"""{'com.outfit7.mytalkingtom2'", 'com.outfit7.talkingnewsfree',,,,,,,,,,
66,www.ireadercity.com,"""{'com.txj.novel.forfree'", 'com.txj.novel.ba',,,,,,,,,,
67,sdkauth.hpplay.cn,"""{'com.vmos.app'", 'kball.winpowerdata',business and economy,information technology,,,,Business and Economy,,,,
68,sdk.ipadview.com,"""{'com.xyf.bletool'", 'com.tencent.tv.qie',information technology,advertisements,,parked,,,,,,
69,st3.soyoung.com,"""{'com.aipai.paidashi'", 'com.shiqichuban.android',business and economy,health and medicines,,health,,Health and Medicine,adult content,,,
70,restapi.amap.com,"""{'com.cctv.ugc'", 'com.yidian.dk',reference materials,reference,,business,"Business/Economy, Reference",Business and Economy,,,,
71,log.reyun.com,"""{'com.A4comic.WOOOH'", 'cc.mianfeinovel',information technology,general business,,business,,,,,,
72,versionsc.api.hoge.cn,"""{'com.changcheng.newsapp'", 'com.hoge.android.app.taizhou',information technology,,,,,,,,,
73,b.scorecardresearch.com,"""{'com.studiosol.palcomp3'", 'com.accuweather.android',web analytics,information technology,media sharing,ads,"Ads/Analytics, Business/Economy, Information Technology",,,,,
74,api.developer.xiaomi.com,"""{'com.shenyaocn.android.BlueSPP'", 'com.mingzhihuatong.muochi',shopping,information technology,business,business,,,,,,
75,yun-hl.3g.qq.com,"""{'com.shucha.find'", 'com.tencent.weishi',search engines and portals,portal sites,,portals,,,,,,
76,sdk.e.qq.com,"""{'com.tencent.qqmusic'", 'com.tencent.gallerymanager',search engines and portals,portal sites,,portals,,,,,,
77,statis.multiopen.cn,"""{'com.bfire.da.nui'", 'com.excelliance.dualaid',business and economy,information technology,downloads,business,,,,,,
78,ads.inmobi.com,"""{'com.nighp.babytracker_android'", 'com.mxtech.videoplayer.ad',web analytics,advertisements,media sharing,news,,,,,,
79,warehouse.camoryapps.com,"""{'com.xinmang.guitar.tuner'", 'com.xinmang.camera.measure.altimeter',information technology,,,,,,,,,
80,open.music.qq.com,"""{'com.qiutinghe.sleep'", 'tv.tvguo.androidphone',,,,,,,,,,
81,api.ad.xiaomi.com,"""{'com.shenyaocn.android.BlueSPP'", 'com.leo.everyday',shopping,information technology,,business,,,,,,
82,pay.trsoft.xin,"""{'com.CDAStudio.ConcreteMasterAndroid'", 'make.more.r2d2.cellular_z',restaurants and dining,,media sharing,,,,,,,
83,restsdk.amap.com,"""{'com.hfi.hangzhoubanshi'", 'com.wm.dmall',reference materials,reference,media sharing,business,,,,,,
84,ai.login.umeng.com,"""{'cn.artand.android'", 'com.wondertek.paper',,,,,,,,,,
85,iis3g.deliver.ifeng.com,"""{'com.huanqiu.news'", 'com.ifeng.newvideo',news and media,news,,news,,,,,,
86,ssl.google-analytics.com,"""{'com.linecorp.linetv'", 'com.joeykrim.rootcheck',web analytics,information technology,media sharing,computersandsoftware,"Ads/Analytics, Information Technology",,,,,
87,182.254.57.56,"""{'com.ziipin.softkeyboard.kazakh'", 'com.cmstop.yangzhounews',,,unknown,,,,,,,
88,api.vungle.com,"""{'com.kauf.virtuallighter'", 'es.socialpoint.DragonCity',advertisements,information technology,media sharing,ads,,,,,,
89,api3.siftscience.com,"""{'com.udemy.android'", 'com.coffeemeetsbagel',information technology,information technology,media sharing,financial,,,,,,
90,sdk.tf.360.cn,"""{'com.qihoo360.ludashi.cooling'", 'com.doubleopen.wxskzs',,,,,,,,,,
91,mapi.m.jd.com,"""{'com.jesson.meishi'", 'so.ofo.labofo',shopping,online shopping,,onlineshop,,,,,,
92,kepler.jd.com,"""{'com.jesson.meishi'", 'so.ofo.labofo',,,,,,,,,,
93,sb.scorecardresearch.com,"""{'org.zwanoo.android.speedtest.china'", 'wp.wattpad',web analytics,information technology,marketing & merchandising,business,"Ads/Analytics, Business/Economy, Information Technology",,,,,
94,gg.sumatang.com,"""{'com.mnkllgg.tyyupoohh'", 'com.kmsoft.tvcast',,,,,,,,,,
95,t7z.cupid.iqiyi.com,"""{'com.iqiyi.acg'", 'com.qiyi.video',streaming media,entertainment,streaming media,marketing,,,,,,
96,adash.m.taobao.com,"""{'com.asong.location'", 'com.taobao.wifi',internet auctions,online shopping,,onlineshop,,,,,,
97,msg.qy.net,"""{'com.iqiyi.i18n'", 'com.iqiyi.acg',entertainment,information technology,media sharing,parked,,,,,,
98,a.apicloud.com,"""{'com.rangdao.goodmorning'", 'com.apicloud.A6972983220765',information technology,,,business,,,,,,
99,bid.adview.cn,"""{'cn.tools123.nettools'", 'com.liny.led',,,,,,,,,,
100,engine.tuia.cn,"""{'com.quyugongzuoshi.jinangwengongjuthree'", 'com.ys.chongdian',information technology,general business,media sharing,,,,,,,
